id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,amenities,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,kitchen_appliances,lobby_in_building,maid_service,maids_room,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
8939491,Damac Hills 2,24.987653,55.378681,48000,1222,39.28,3,3,High,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,covered_parking,pets_allowed,private_garden,security,shared_gym,shared_pool,shared_spa,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,",True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,True,True,True,False,True,True,True,True
8924473,Dubai Hills Estate,25.093287,55.248223,550000,6400,85.94,5,5,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,maids_room,pets_allowed,private_garden,shared_pool,",True,True,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False
8920126,Bluewaters,25.077424,55.12324,850000,2101,404.57,3,4,High,"furnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,maids_room,security,shared_gym,shared_pool,shared_spa,view_of_landmark,view_of_water,walk_in_closet,",True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True
8915633,Dubai Production City (IMPZ),25.034774,55.20175,30000,496,60.48,0,1,High,"furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,pets_allowed,security,shared_gym,shared_pool,view_of_landmark,walk_in_closet,",True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True
8931167,Dubai Sports City,25.040177,55.222445,32000,338,94.67,0,1,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,security,shared_gym,view_of_landmark,",True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
8929843,Town Square,25.00373,55.297034,63000,935,67.38,2,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,security,shared_gym,shared_pool,",True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
8874089,The Springs,25.063928,55.190442,250000,4972,50.28,3,3,Low,"unfurnished,balcony,view_of_water,",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8902850,Dubai Silicon Oasis,25.115641,55.388209,80000,1800,44.44,3,3,Low,"unfurnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,",True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8906745,Downtown Dubai,25.19331,55.280919,295000,1821,162,3,4,High,"partly_furnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maids_room,pets_allowed,security,shared_gym,shared_pool,view_of_landmark,",False,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,False
8902860,Arabian Ranches,25.042935,55.26593,170000,2219,76.61,2,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,private_garden,shared_pool,study,",True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
